Ion   Ju     Eu(eV)         Jl      El(eV)          lambda(AA)     A(s^-1)       gf  
UII   6.5   3.7168         5.5     0.2845            3611.236      6.741E+06  0.2140 
UII   5.5   3.5444         4.5     0.1134            3612.666      9.645E+06  0.2701 
UII   6.5   3.4629         5.5     0.03584           3616.756      9.837E+06  0.3132 
UII   5.5   3.5345         4.5     0.1134            3623.057      1.304E+07  0.3671 
UII   5.5   3.4095         4.5     0.000             3635.41       7.590E+06  0.2152 
UII   5.5   3.6212         6.5     0.2169            3640.945      1.604E+07  0.3260 
UII   4.5   3.5139         4.5     0.1134            3645.029      1.656E+07  0.3279 
UII   3.5   3.9710         2.5     0.5835            3659.007      1.875E+07  0.3989 
UII   3.5   3.9627         3.5     0.5782            3662.329      2.414E+07  0.3860 
UII   6.5   4.4374         7.5     1.057             3666.232      2.586E+07  0.6344 
UII   5.5   3.4907         4.5     0.1134            3670.068      2.911E+07  0.8411 
UII   4.5   4.1718         4.5     0.7991            3674.993      2.553E+07  0.5138 
UII   7.5   4.0248         7.5     0.6521            3675.084      1.379E+07  0.4440 
UII   6.5   4.1504         6.5     0.7790            3676.562      2.044E+07  0.5764 
UII   6.5   4.0184         7.5     0.6521            3682.035      1.942E+07  0.4805 
UII   3.5   3.9408         2.5     0.5835            3691.918      2.988E+07  0.6473 
UII   4.5   4.2914         3.5     0.9358            3693.696      2.910E+07  0.7393 
UII   6.5   4.4374         6.5     1.086             3697.927      2.515E+07  0.7175 
UII   5.5   3.4629         4.5     0.1134            3700.571      1.378E+07  0.4049 
UII   6.5   4.0338         6.5     0.6852            3701.516      3.392E+07  0.9695 
UII   7.5   3.9898         7.5     0.6521            3713.648      1.725E+07  0.5672 
UII   5.5   3.6212         5.5     0.2845            3714.757      1.332E+07  0.3286 
UII   6.5   3.5505         6.5     0.2169            3718.106      1.276E+07  0.3679 
UII   6.5   4.0184         6.5     0.6852            3718.617      1.442E+07  0.4160 
UII   5.5   3.5444         6.5     0.2169            3724.983      1.725E+07  0.3668 
UII   4.5   3.4341         4.5     0.1134            3732.615      1.588E+07  0.3296 
UII   6.5   4.0338         5.5     0.7179            3738.04       2.220E+07  0.7550 
UII   6.5   3.9937         6.5     0.6852            3746.42       2.623E+07  0.7680 
UII   7.5   4.3644         7.5     1.057             3747.141      2.483E+07  0.8311 
UII   3.5   4.0152         4.5     0.7087            3748.676      6.779E+07  0.9085 
UII   5.5   3.9882         6.5     0.6852            3752.663      2.660E+07  0.5741 
UII   5.5   3.3015         4.5     0.000             3754.308      7.386E+06  0.2234 
UII   6.5   4.0184         5.5     0.7179            3755.482      1.725E+07  0.5921 
UII   2.5   3.8827         2.5     0.5835            3756.921      3.483E+07  0.4396 
UII   4.5   3.2957         4.5     0.000             3760.887      1.169E+07  0.2464 
UII   5.5   3.5115         6.5     0.2169            3762.116      1.180E+07  0.2559 
UII   6.5   4.0068         5.5     0.7179            3768.795      1.444E+07  0.4991 
UII   4.5   4.3203         5.5     1.035             3772.812      3.484E+07  0.6157 
UII   5.5   3.3919         4.5     0.1134            3780.714      1.086E+07  0.3332 
UII   6.5   3.3124         5.5     0.03584           3782.841      1.780E+07  0.6200 
UII   6.5   3.9937         5.5     0.7179            3783.84       1.830E+07  0.6376 
UII   6.5   4.3300         7.5     1.057             3786.568      1.953E+07  0.5112 
UII   7.5   3.9249         7.5     0.6521            3787.235      1.224E+07  0.4185 
UII   5.5   3.9882         5.5     0.7179            3790.209      1.422E+07  0.3653 
UII   3.5   3.3836         4.5     0.1134            3790.323      1.466E+07  0.2009 
UII   7.5   3.8363         6.5     0.5685            3793.1        1.579E+07  0.6188 
UII   5.5   3.3808         4.5     0.1134            3793.569      1.072E+07  0.3309 
UII   6.5   3.5505         5.5     0.2845            3795.113      8.810E+06  0.3088 
UII   4.5   3.8430         3.5     0.5782            3796.53       1.597E+07  0.4287 
UII   4.5   4.0636         4.5     0.7991            3796.843      2.482E+07  0.5331 
UII   6.5   4.3033         7.5     1.041             3799.197      2.565E+07  0.6757 
UII   5.5   3.5444         5.5     0.2845            3802.278      1.236E+07  0.3195 
UII   5.5   3.2589         4.5     0.000             3803.346      5.752E+06  0.1785 
UII   3.5   3.9627         4.5     0.7087            3809.225      4.275E+07  0.5916 
UII   5.5   3.5345         5.5     0.2845            3813.79       1.492E+07  0.3879 
UII   4.5   3.3632         4.5     0.1134            3814.063      1.511E+07  0.3276 
UII   6.5   3.4629         6.5     0.2169            3818.463      7.212E+06  0.2194 
UII   3.5   3.8261         2.5     0.5835            3822.543      1.355E+07  0.3147 
UII   6.5   3.2751         5.5     0.03584           3826.507      1.136E+07  0.4049 
UII   4.5   3.3505         4.5     0.1134            3829.02       1.219E+07  0.2663 
UII   5.5   3.8053         6.5     0.5685            3829.37       1.678E+07  0.3772 
UII   4.5   3.8133         3.5     0.5782            3831.46       3.868E+07  1.058  
UII   5.5   4.1734         5.5     0.9421            3835.914      2.113E+07  0.5560 
UII   4.5   3.5139         5.5     0.2845            3838.143      1.585E+07  0.2900 
UII   5.5   3.9088         6.5     0.6852            3845.118      1.518E+07  0.3440 
UII   7.5   3.8727         7.5     0.6521            3848.604      1.735E+07  0.6126 
UII   3.5   3.2196         4.5     0.000             3849.847      1.541E+07  0.2178 
UII   4.5   3.7938         3.5     0.5782            3854.64       4.091E+07  1.132  
UII   6.5   3.2473         5.5     0.03584           3859.571      2.483E+07  0.9003 
UII   4.5   3.7856         3.5     0.5782            3864.467      1.490E+07  0.4144 
UII   5.5   3.4907         5.5     0.2845            3865.916      2.848E+07  0.7611 
UII   6.5   3.2353         5.5     0.03584           3874.037      9.982E+06  0.3646 
UII   8.5   4.2939         8.5     1.098             3878.084      2.575E+07  1.039  
UII   7.5   3.7619         6.5     0.5685            3881.454      1.843E+07  0.7565 
UII   5.5   3.4095         6.5     0.2169            3882.356      1.696E+07  0.3918 
UII   6.5   3.2219         5.5     0.03584           3890.361      1.702E+07  0.6269 
UII   5.5   4.2402         5.5     1.055             3891.685      1.790E+07  0.4848 
UII   7.5   3.8363         7.5     0.6521            3892.682      1.839E+07  0.6643 
UII   5.5   3.7302         5.5     0.5481            3895.27       1.349E+07  0.3660 
UII   5.5   3.7493         6.5     0.5685            3896.775      2.368E+07  0.5510 
UII   4.5   3.7568         3.5     0.5782            3899.472      1.438E+07  0.4074 
UII   6.5   3.4629         5.5     0.2845            3899.728      1.244E+07  0.4602 
UII   4.5   3.2119         5.5     0.03584           3902.55       1.588E+07  0.3003 
UII   5.5   4.2097         5.5     1.035             3904.295      3.108E+07  0.8470 
UII   6.5   3.8266         7.5     0.6521            3904.563      1.572E+07  0.4374 
UII   4.5   3.8888         5.5     0.7179            3909.061      1.817E+07  0.3447 
UII   6.5   3.7168         5.5     0.5481            3911.673      1.213E+07  0.4516 
UII   5.5   4.2097         4.5     1.044             3915.877      2.379E+07  0.7827 
UII   5.5   3.1607         4.5     0.000             3921.548      6.236E+06  0.2058 
UII   5.5   3.7271         6.5     0.5685            3924.26       1.528E+07  0.3606 
UII   6.5   3.9348         6.5     0.7790            3927.759      1.525E+07  0.4907 
UII   6.5   3.1890         5.5     0.03584           3930.977      8.049E+06  0.3027 
UII   6.5   3.1881         5.5     0.03584           3932.021      1.567E+07  0.5898 
UII   7.5   3.8036         7.5     0.6521            3933.027      8.664E+06  0.3195 
UII   4.5   3.4341         5.5     0.2845            3935.38       2.125E+07  0.4086 
UII   5.5   3.2589         4.5     0.1134            3940.483      8.704E+06  0.2900 
UII   6.5   4.2294         6.5     1.086             3942.543      1.837E+07  0.5957 
UII   5.5   3.8616         5.5     0.7179            3942.84       1.649E+07  0.4584 
UII   7.5   3.7111         6.5     0.5685            3944.13       9.328E+06  0.3953 
UII   5.5   3.8539         5.5     0.7179            3952.546      1.092E+07  0.3051 
UII   6.5   3.4196         5.5     0.2845            3953.575      8.612E+06  0.3276 
UII   5.5   4.1692         5.5     1.035             3954.667      3.172E+07  0.8869 
UII   4.5   4.0149         4.5     0.8885            3964.664      2.295E+07  0.5374 
UII   3.5   3.1261         4.5     0.000             3964.961      1.249E+07  0.1873 
UII   5.5   4.1692         4.5     1.044             3966.549      2.762E+07  0.9324 
UII   2.5   4.1644         1.5     1.041             3969.021      2.185E+07  0.4616 
UII   7.5   3.7619         7.5     0.6521            3985.793      2.239E+07  0.8479 
UII   5.5   3.3919         5.5     0.2845            3988.884      9.296E+06  0.2645 
UII   3.5   3.2196         4.5     0.1134            3990.42       2.157E+07  0.3276 
UII   4.5   3.8133         4.5     0.7087            3992.535      2.283E+07  0.5423 
UII   4.5   3.1390         5.5     0.03584           3994.291      8.530E+06  0.1690 
